discipline_title,slug_game,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code,year
Curling,beijing-2022,Mixed Doubles,Mixed,GOLD,GameTeam,Italy,https://olympics.com/en/athletes/stefania-constantini,Stefania CONSTANTINI,Italy,IT,ITA,2022
Curling,beijing-2022,Mixed Doubles,Mixed,GOLD,GameTeam,Italy,https://olympics.com/en/athletes/amos-mosaner,Amos MOSANER,Italy,IT,ITA,2022
Curling,beijing-2022,Mixed Doubles,Mixed,SILVER,GameTeam,Norway,https://olympics.com/en/athletes/kristin-skaslien,Kristin SKASLIEN,Norway,NO,NOR,2022
Curling,beijing-2022,Mixed Doubles,Mixed,SILVER,GameTeam,Norway,https://olympics.com/en/athletes/magnus-nedregotten,Magnus NEDREGOTTEN,Norway,NO,NOR,2022
Curling,beijing-2022,Mixed Doubles,Mixed,BRONZE,GameTeam,Sweden,https://olympics.com/en/athletes/almida-de-val,Almida DE VAL,Sweden,SE,SWE,2022
Curling,beijing-2022,Mixed Doubles,Mixed,BRONZE,GameTeam,Sweden,https://olympics.com/en/athletes/oskar-eriksson,Oskar ERIKSSON,Sweden,SE,SWE,2022
Freestyle Skiing,beijing-2022,Men's Moguls,Men,SILVER,Athlete,unknown,https://olympics.com/en/athletes/mikael-kingsbury,Mikael KINGSBURY,Canada,CA,CAN,2022
Freestyle Skiing,beijing-2022,Men's Moguls,Men,GOLD,Athlete,unknown,https://olympics.com/en/athletes/wallberg,Walter WALLBERG,Sweden,SE,SWE,2022
Freestyle Skiing,beijing-2022,Men's Moguls,Men,BRONZE,Athlete,unknown,https://olympics.com/en/athletes/ikuma-horishima,Ikuma HORISHIMA,Japan,JP,JPN,2022
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,GOLD,Athlete,unknown,https://olympics.com/en/athletes/nico-porteous,Nico PORTEOUS,New Zealand,NZ,NZL,2022
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,SILVER,Athlete,unknown,https://olympics.com/en/athletes/david-wise,David WISE,United States of America,US,USA,2022
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,BRONZE,Athlete,unknown,https://olympics.com/en/athletes/alex-ferreira,Alex FERREIRA,United States of America,US,USA,2022
Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,BRONZE,Athlete,unknown,https://olympics.com/en/athletes/henrik-harlaut,Henrik HARLAUT,Sweden,SE,SWE,2022
Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,GOLD,Athlete,unknown,https://olympics.com/en/athletes/birk-ruud,Birk RUUD,Norway,NO,NOR,2022
Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,SILVER,Athlete,unknown,https://olympics.com/en/athletes/colby-stevenson,Colby STEVENSON,United States of America,US,USA,2022
Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,BRONZE,Athlete,unknown,https://olympics.com/en/athletes/sergey-ridzik-1,Sergey RIDZIK,ROC,ROC,ROC,2022
Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,SILVER,Athlete,unknown,https://olympics.com/en/athletes/alex-fiva,Alex FIVA,Switzerland,CH,SUI,2022
Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,GOLD,Athlete,unknown,https://olympics.com/en/athletes/ryan-regez,Ryan REGEZ,Switzerland,CH,SUI,2022
